AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
0.7933922413,0.5150645624,0.9464371114,0.3467240555,0.493543759,0.2649450024,0.4442850311,0.2663797226,0.7135341942,0.5074127212,0.6523194644,0.6355810617,0.3261597322,0.6743185079,0.2649450024,0.2663797226,0.5150645624,0.6523194644,0.6743185079,0.4710664754,0.3582018173,0.7350549976,0.6824485892,0.8254423721,0.306551889,0.3213773314,0.7613582018,0.3118125299,0.4591104735,0.2845528455,0.4863701578,0.6011477762,0.7890961263,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.3089430894,0.3639406982,0.368723099,0.08369201339
0.6106802013,0.9631755141,0.7111429938,0.8440937351,0.274988044,0.6661884266,0.2037302726,0.5700621712,0.7886178862,0.4595887135,0.6470588235,0.6857962697,0.9550454328,0.7393591583,0.6661884266,0.5700621712,0.9631755141,0.6470588235,0.7393591583,0.4897178384,0.7776183644,0.5978000956,0.7087517934,0.2864658058,0.306551889,0.5734098517,0.5786704926,0.9521759923,0.4591104735,0.5614538498,0.7962697274,0.4414155906,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.7584887614,0.6298421808,0.5279770445,0.6881874701
0.5857321135,0.3806791009,0.7192730751,0.9411764706,0.412242946,0.1630798661,0.818747011,0.3629842181,0.8780487805,0.8914395026,0.3553323769,0.9870875179,0.5231946437,0.2721186035,0.1630798661,0.3629842181,0.3806791009,0.3553323769,0.2721186035,0.7757054041,0.3878527021,0.4796747967,0.4328072692,0.2864658058,0.618842659,0.6054519369,0.9827833572,0.2955523673,0.9780009565,0.3510282162,0.8240076518,0.4414155906,0.6709708274,0.6566236251,0.8340506934,0.7479674797,0.9201339072,0.7785748446,0.3089430894,0.3424198948,0.3486370158,0.3978957437
0.3840583001,0.3959827834,0.3835485414,0.3467240555,0.5557149689,0.1970349115,0.7647058824,0.4151123864,0.6508847441,0.7981826877,0.7804878049,0.8292682927,0.7101865136,0.8096604495,0.1970349115,0.4151123864,0.3959827834,0.7804878049,0.8096604495,0.8857006217,0.2381635581,0.9928263989,0.9928263989,0.8546150167,0.8235294118,0.7761836442,0.5447154472,0.7728359637,0.4758488761,0.8833094213,0.9330463893,0.9894787183,0.9478718317,0.7494021999,0.9292204687,0.9416547107,0.6489717838,0.5781922525,0.5633668101,0.9406982305,0.9406982305,0.8890483022
0.7757852302,0.4729794357,0.4457197513,0.8421807747,0.8531802965,0.8206599713,0.5896700143,0.793878527,0.5217599235,0.156384505,0.2104256337,0.6355810617,0.09516977523,0.1788617886,0.8206599713,0.793878527,0.4729794357,0.2104256337,0.1788617886,0.4710664754,0.8388330942,0.4203730273,0.2458153993,0.3266379723,0.3075083692,0.3285509326,0.5447154472,0.09277857484,0.4591104735,0.2845528455,0.3782879005,0.4414155906,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.3089430894,0.4820659971,0.5021520803,0.5772357724
0.0734026286,0.2797704448,0.3132472501,0.3467240555,0.1889048302,0.5408895265,0.2725968436,0.5839311334,0.5217599235,0.862745098,0.8163558106,0.725011956,0.7503586801,0.8818747011,0.5408895265,0.5839311334,0.2797704448,0.8163558106,0.8818747011,0.4710664754,0.4351984696,0.5318029651,0.6671449067,0.669057867,0.8488761358,0.9842180775,0.5447154472,0.4399808704,0.5318029651,0.9320899091,0.3806791009,0.5585844094,0.6709708274,0.6566236251,0.6724055476,0.912482066,0.6489717838,0.9115255858,0.3089430894,0.337637494,0.3433763749,0.4729794357
0.5302240014,0.5475848876,0.9330463893,0.3467240555,0.8120516499,0.1630798661,0.8421807747,0.1941654711,0.9473935916,0.7962697274,0.2104256337,0.9354375897,0.1755141081,0.4725011956,0.1630798661,0.1941654711,0.5475848876,0.2104256337,0.4725011956,0.4710664754,0.7556193209,0.9808703969,0.9803921569,0.7953132473,0.5351506456,0.6609277857,0.6924916308,0.3548541368,0.6681013869,0.4538498326,0.8082257293,0.9799139168,0.9483500717,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.3089430894,0.1922525108,0.218555715,0.6714490674
0.8455146292,0.8464849354,0.6805356289,0.3467240555,0.7006217121,0.7288378766,0.5600191296,0.7427068388,0.5217599235,0.8464849354,0.3180296509,0.6355810617,0.2018173123,0.2821616451,0.7288378766,0.7427068388,0.8464849354,0.3180296509,0.2821616451,0.4710664754,0.2592061215,0.956001913,0.9115255858,0.2864658058,0.306551889,0.3213773314,0.9368723099,0.2941176471,0.9296987088,0.5490196078,0.5576279292,0.8976566236,0.6709708274,0.6566236251,0.6527977044,0.5528455285,0.6489717838,0.5781922525,0.7336202774,0.6379722621,0.6140602582,0.6212338594
0.7081319009,0.7575322812,0.581061693,0.474892396,0.5045432807,0.706360593,0.3405069345,0.649928264,0.5217599235,0.5887135342,0.6217120995,0.6355810617,0.5643232903,0.7034911526,0.706360593,0.649928264,0.7575322812,0.6217120995,0.7034911526,0.4710664754,0.9158297465,0.3390722143,0.2458153993,0.2864658058,0.5839311334,0.6590148254,0.5447154472,0.1956001913,0.7594452415,0.2845528455,0.8192252511,0.4414155906,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.7025346724,0.5781922525,0.3089430894,0.9340028694,0.9019607843,0.5054997609
0.4076148666,0.2883787661,0.1630798661,0.3467240555,0.3883309421,0.9110473458,0.7010999522,0.8976566236,0.5217599235,0.4911525586,0.9029172645,0.6566236251,0.8890483022,0.9177427068,0.9110473458,0.8976566236,0.2883787661,0.9029172645,0.9177427068,0.5365853659,0.5370636059,0.3390722143,0.4208512673,0.5035868006,0.9029172645,0.9363940698,0.5447154472,0.5681492109,0.4591104735,0.856049737,0.3782879005,0.6451458632,0.6709708274,0.8474414156,0.7474892396,0.8584409374,0.6489717838,0.581061693,0.8962219034,0.8512673362,0.7852702056,0.8388330942
0.4190234771,0.5585844094,0.9421329507,0.3467240555,0.1889048302,0.3261597322,0.8550932568,0.4198947872,0.5217599235,0.156384505,0.8737446198,0.6355810617,0.2051649928,0.8421807747,0.3261597322,0.4198947872,0.5585844094,0.8737446198,0.8421807747,0.9244380679,0.7168818747,0.3390722143,0.2458153993,0.7522716404,0.7991391679,0.7819225251,0.5447154472,0.09277857484,0.4591104735,0.2845528455,0.681013869,0.5657580105,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.556193209,0.9421329507,0.9550454328,0.343854615
0.7645022057,0.3515064562,0.09230033477,0.3467240555,0.8230511717,0.3529411765,0.8350071736,0.3864179818,0.9096126255,0.9842180775,0.5222381636,0.8302247728,0.9904351985,0.5179340029,0.3529411765,0.3864179818,0.3515064562,0.5222381636,0.5179340029,0.824964132,0.4385461502,0.6226685796,0.56241033,0.5590626495,0.3639406982,0.4380679101,0.9799139168,0.4423720708,0.9923481588,0.6408417025,0.8732663797,0.4414155906,0.6709708274,0.6566236251,0.9316116691,0.7699665232,0.8818747011,0.6671449067,0.4270683883,0.7226207556,0.7632711621,0.6221903396
0.6138245964,0.2797704448,0.2324246772,0.3658536585,0.9583931133,0.6274509804,0.9799139168,0.4638928742,0.5217599235,0.3754184601,0.2104256337,0.6355810617,0.09516977523,0.1788617886,0.6274509804,0.4638928742,0.2797704448,0.2104256337,0.1788617886,0.4710664754,0.1649928264,0.8923959828,0.9545671927,0.2864658058,0.3280726925,0.3400286944,0.5447154472,0.9603060736,0.4591104735,0.6456241033,0.6293639407,0.9928263989,0.9956958393,0.6566236251,0.924916308,0.9483500717,0.9521759923,0.5781922525,0.5695839311,0.5738880918,0.5982783357,0.9225251076
0.4655198055,0.399808704,0.4275466284,0.8397895744,0.3711142994,0.6322333812,0.5294117647,0.6365375418,0.5217599235,0.7618364419,0.6738402678,0.6355810617,0.3008130081,0.6571018651,0.6322333812,0.6365375418,0.399808704,0.6738402678,0.6571018651,0.5074127212,0.9526542324,0.5824964132,0.2922046868,0.4681970349,0.962697274,0.7757054041,0.6269727403,0.7489239598,0.9215686275,0.8986131038,0.8699186992,0.4414155906,0.8603538977,0.8479196557,0.6422764228,0.5528455285,0.7589670014,0.9650884744,0.3538976566,0.1487326638,0.1511238642,0.6862745098
0.5003406121,0.6547106648,0.2434241989,0.800095648,0.8292682927,0.1946437111,0.3094213295,0.1941654711,0.9306551889,0.156384505,0.2534672406,0.6355810617,0.4825442372,0.2620755619,0.1946437111,0.1941654711,0.6547106648,0.2534672406,0.2620755619,0.9206121473,0.587278814,0.6967957915,0.5968436155,0.7556193209,0.381157341,0.3720707795,0.5447154472,0.9670014347,0.4591104735,0.9043519847,0.9426111908,0.4414155906,0.6709708274,0.6566236251,0.9698708752,0.962219034,0.9182209469,0.62505978,0.8268770923,0.1487326638,0.3137254902,0.7207077953
0.7176890098,0.6183644189,0.8067910091,0.4600669536,0.9172644668,0.7097082736,0.4925872788,0.4371114299,0.7819225251,0.3094213295,0.506456241,0.6389287422,0.5141080823,0.5887135342,0.7097082736,0.4371114299,0.6183644189,0.506456241,0.5887135342,0.7379244381,0.6422764228,0.456241033,0.2907699665,0.2864658058,0.418938307,0.5384983262,0.7427068388,0.09277857484,0.4591104735,0.2845528455,0.3782879005,0.4414155906,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.5762792922,0.8206599713,0.8197034912,0.3084648494
