AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,Diff,Threshold
0.407379939053375,0.2797704447632712,0.1568627450980392,0.3467240554758489,0.30224772835963654,0.926829268292683,0.6733620277379244,0.9387852702056433,0.5217599234815877,0.5485413677666189,0.9306551889048302,0.6355810616929699,0.8742228598756576,0.9751315160210425,0.926829268292683,0.9387852702056433,0.2797704447632712,0.9306551889048302,0.9751315160210425,0.5767575322812052,0.5078909612625538,0.33907221425155426,0.4600669536107126,0.381635581061693,0.9191774270683883,0.9296987087517934,0.5447154471544715,0.6896221903395504,0.45911047345767575,0.8130081300813008,0.3782879005260641,0.7073170731707317,0.6709708273553324,0.890961262553802,0.6996652319464371,0.7790530846484935,0.6489717838354854,0.6025824964131994,0.9163079866092778,0.6848397895743663,0.7116212338593975,0.8354854136776662,0.42810547462429116,True
0.407197108990292,0.2797704447632712,0.13103778096604496,0.3467240554758489,0.3170731707317073,0.945480631276901,0.6465805834528934,0.9134385461501674,0.5217599234815877,0.5705404112864658,0.9626972740315638,0.6355810616929699,0.8517455762792921,0.9708273553323769,0.945480631276901,0.9134385461501674,0.2797704447632712,0.9626972740315638,0.9708273553323769,0.5624103299856528,0.4796747967479675,0.33907221425155426,0.4983261597321856,0.39646102343376377,0.9516977522716403,0.9124820659971306,0.5447154471544715,0.8297465327594452,0.45911047345767575,0.7551410808225729,0.3782879005260641,0.7895743663318986,0.6709708273553324,0.9450023912003825,0.6422764227642277,0.59636537541846,0.6489717838354854,0.7498804399808704,0.9435676709708274,0.6848397895743663,0.7116212338593975,0.8775705404112865,0.47037343142099447,True
0.407197108990292,0.2797704447632712,0.13103778096604496,0.3467240554758489,0.3170731707317073,0.945480631276901,0.6465805834528934,0.9134385461501674,0.5217599234815877,0.5705404112864658,0.9626972740315638,0.6355810616929699,0.8517455762792921,0.9708273553323769,0.945480631276901,0.9134385461501674,0.2797704447632712,0.9626972740315638,0.9708273553323769,0.5624103299856528,0.4796747967479675,0.33907221425155426,0.4983261597321856,0.39646102343376377,0.9516977522716403,0.9124820659971306,0.5447154471544715,0.8297465327594452,0.45911047345767575,0.7551410808225729,0.3782879005260641,0.7895743663318986,0.6709708273553324,0.9450023912003825,0.6422764227642277,0.59636537541846,0.6489717838354854,0.7498804399808704,0.9435676709708274,0.6848397895743663,0.7116212338593975,0.8775705404112865,0.47037343142099447,True
0.407123958077868,0.2797704447632712,0.1209947393591583,0.3467240554758489,0.3318986131037781,0.9464371114299378,0.6513629842180775,0.9139167862266858,0.5217599234815877,0.5724533715925395,0.9473935915829746,0.6355810616929699,0.8402678144428503,0.9550454328072693,0.9464371114299378,0.9139167862266858,0.2797704447632712,0.9473935915829746,0.9550454328072693,0.5815399330463893,0.5121951219512195,0.33907221425155426,0.4528933524629364,0.3768531802965088,0.9153515064562411,0.9335246293639407,0.5447154471544715,0.6542324246771879,0.45911047345767575,0.8235294117647058,0.3782879005260641,0.6896221903395504,0.6709708273553324,0.8809182209469153,0.7149689143950263,0.8029650884744142,0.6489717838354854,0.5958871353419417,0.9100908656145384,0.6848397895743663,0.7116212338593975,0.8316594930655189,0.4245355349876509,True
0.407379939053375,0.2797704447632712,0.1568627450980392,0.3467240554758489,0.30224772835963654,0.926829268292683,0.6733620277379244,0.9387852702056433,0.5217599234815877,0.5485413677666189,0.9306551889048302,0.6355810616929699,0.8742228598756576,0.9751315160210425,0.926829268292683,0.9387852702056433,0.2797704447632712,0.9306551889048302,0.9751315160210425,0.5767575322812052,0.5078909612625538,0.33907221425155426,0.4600669536107126,0.381635581061693,0.9191774270683883,0.9296987087517934,0.5447154471544715,0.6896221903395504,0.45911047345767575,0.8130081300813008,0.3782879005260641,0.7073170731707317,0.6709708273553324,0.890961262553802,0.6996652319464371,0.7790530846484935,0.6489717838354854,0.6025824964131994,0.9163079866092778,0.6848397895743663,0.7149689143950263,0.836441893830703,0.429061954777328,True
0.01,0.8359636537541846,0.7890961262553802,0.5868005738880918,0.6767097082735534,1.0,0.9450023912003825,0.9856527977044476,0.9913916786226685,0.4347202295552367,0.7924438067910091,0.9789574366331899,0.38737446197991393,0.7780966044954567,1.0,0.9856527977044476,0.8359636537541846,0.7924438067910091,0.7780966044954567,0.9340028694404591,0.9359158297465328,0.8574844571975132,0.9459588713534194,0.9966523194643712,0.713534194165471,0.7852702056432329,0.8756575801052128,0.5471066475370636,0.45911047345767575,0.2845528455284553,0.8163558106169297,0.8809182209469153,0.9588713534194165,0.65662362505978,0.8067910090865614,0.5528455284552846,0.6489717838354854,0.5781922525107605,0.9823051171688187,0.697274031563845,0.7340985174557628,0.9880439980870397,0.9780439980870397,True
0.01,0.9765662362505978,0.790052606408417,0.973218555714969,0.4418938307030129,0.5628885700621712,0.3118125298900048,0.7278813964610235,0.9947393591582975,0.9459588713534194,0.21186035389765662,0.6355810616929699,0.9890004782400765,0.18507890961262555,0.5628885700621712,0.7278813964610235,0.9765662362505978,0.21186035389765662,0.18507890961262555,0.664753706360593,0.9277857484457197,0.9296987087517934,0.8694404591104734,0.9813486370157819,0.38785270205643235,0.4294595887135342,0.896700143472023,0.9631755141080822,0.8670492587278814,0.820181731229077,0.9306551889048302,0.4414155906264945,0.6709708273553324,0.8240076518412243,0.759923481587757,0.6561453849832616,0.6489717838354854,0.7202295552367288,0.7250119560019129,0.5294117647058824,0.549976087996174,0.9555236728837877,0.9455236728837877,True
0.407123958077868,0.2797704447632712,0.12003825920612148,0.3467240554758489,0.3299856527977044,0.9473935915829746,0.6480153036824486,0.921090387374462,0.5217599234815877,0.5762792922046868,0.9426111908177905,0.6355810616929699,0.8359636537541846,0.9545671927307509,0.9473935915829746,0.921090387374462,0.2797704447632712,0.9426111908177905,0.9545671927307509,0.5791487326637972,0.5083692013390723,0.33907221425155426,0.45767575322812054,0.3797226207556193,0.9182209469153515,0.9301769488283118,0.5447154471544715,0.6857962697274032,0.45911047345767575,0.8144428503108561,0.3782879005260641,0.7039693926351028,0.6709708273553324,0.8890483022477284,0.7015781922525107,0.7814442850310857,0.6489717838354854,0.6011477761836442,0.9148732663797227,0.6848397895743663,0.7116212338593975,0.8345289335246293,0.4274049754467613,True
0.407197108990292,0.2797704447632712,0.15016738402678145,0.3467240554758489,0.32902917264466763,0.9521759923481588,0.6585365853658537,0.9287422285987565,0.5217599234815877,0.5561932089909134,0.9469153515064562,0.6355810616929699,0.8646580583452893,0.9569583931133429,0.9521759923481588,0.9287422285987565,0.2797704447632712,0.9469153515064562,0.9569583931133429,0.6174079387852702,0.5724533715925395,0.33907221425155426,0.39215686274509803,0.351506456241033,0.8766140602582496,0.9665231946437112,0.5447154471544715,0.21807747489239598,0.45911047345767575,0.9124820659971306,0.3782879005260641,0.4414155906264945,0.6709708273553324,0.65662362505978,0.8895265423242468,0.9521759923481588,0.8110951697752271,0.5781922525107605,0.8723098995695839,0.6848397895743663,0.7149689143950263,0.8952654232424677,0.48806831425217573,True
0.407123958077867,0.2797704447632712,0.13916786226685796,0.3467240554758489,0.3036824485891918,0.9282639885222381,0.6604495456719273,0.9182209469153515,0.5217599234815877,0.5619320899091343,0.9493065518890483,0.6355810616929699,0.8345289335246293,0.9540889526542324,0.9282639885222381,0.9182209469153515,0.2797704447632712,0.9493065518890483,0.9540889526542324,0.5992348158775705,0.5442372070779531,0.33907221425155426,0.4184600669536107,0.36441893830703015,0.896700143472023,0.9493065518890483,0.5447154471544715,0.4600669536107126,0.45911047345767575,0.8737446197991392,0.3782879005260641,0.5738880918220947,0.6709708273553324,0.65662362505978,0.7881396461023433,0.9076996652319465,0.6489717838354854,0.5781922525107605,0.8919177427068389,0.6848397895743663,0.7116212338593975,0.8373983739837398,0.43027441590587284,True
0.01,0.8727881396461024,0.9363940698230512,0.9383070301291249,0.5059780009564802,0.4418938307030129,0.5141080822572932,0.4763271162123386,0.5571496891439502,0.6011477761836442,0.36250597800095646,0.8680057388809183,0.991869918699187,0.25107604017216645,0.4418938307030129,0.4763271162123386,0.8727881396461024,0.36250597800095646,0.25107604017216645,0.47728359636537543,0.809660449545672,0.7881396461023433,0.7594452415112386,0.9182209469153515,0.539454806312769,0.46915351506456243,0.5447154471544715,0.9220468675274988,0.6556671449067432,0.7455762792922047,0.7508369201339072,0.7388809182209469,0.6709708273553324,0.7101865136298422,0.6422764227642277,0.5528455284552846,0.8464849354375896,0.6977522716403635,0.42898134863701576,0.9794356767097083,0.9684361549497847,0.719273075083692,0.709273075083692,True
0.407197108990292,0.2797704447632712,0.09230033476805356,0.3467240554758489,0.39646102343376377,0.9531324725011956,0.6771879483500718,0.9249163079866093,0.5217599234815877,0.47871831659493064,0.9440459110473458,0.7044476327116213,0.8440937350549976,0.9512195121951219,0.9531324725011956,0.9249163079866093,0.2797704447632712,0.9440459110473458,0.9512195121951219,0.640363462458154,0.5007173601147776,0.33907221425155426,0.46580583452893354,0.5203252032520326,0.9258727881396461,0.9239598278335724,0.5447154471544715,0.7116212338593975,0.45911047345767575,0.8010521281683405,0.3782879005260641,0.7211860353897657,0.6709708273553324,0.9005260640841702,0.6838833094213295,0.7527498804399809,0.6489717838354854,0.610234337637494,0.9206121472979436,0.8378766140602583,0.8464849354375896,0.8584409373505499,0.45124382836025795,True
