ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
bc4fbc2c-0ba3-40c8-9afb-6a57ac4b9769.Kinect,6/20/2018,0.29,0.0,1.27,1.48,1.24,1.5,1.14,0.05,0.41,0.0,0.45,0.0,0.0,0.0,0.0
1dde008a-bf5d-471f-8be1-3ed2c00196ed.Kinect,7/20/2018,0.72,0.38,1.21,1.26,0.91,1.07,0.01,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
42081014-f830-4ae4-a51b-5d823e570da3.Kinect,6/19/2018,0.68,0.0,0.96,1.05,0.34,1.11,0.0,0.17,0.0,0.0,0.39,0.0,0.0,0.0,0.0
a092466d-7971-40c2-a271-8627e9222268.Kinect,8/23/2018,0.81,0.25,1.21,1.24,0.09,0.28,0.0,0.01,0.01,0.02,0.02,0.01,0.01,0.0,0.0
bb868e17-211c-49bd-b4c4-5f6489ca7876.Kinect,9/9/2018,0.83,0.0,0.64,1.01,0.04,0.48,0.01,0.1,0.0,0.01,0.02,0.01,0.01,0.0,0.01
a725c992-0230-498f-8534-ff40161bf5a8.Kinect,6/19/2018,0.03,0.01,1.5,1.5,0.99,1.1,0.14,0.45,0.0,0.01,0.97,0.66,0.0,0.99,0.05
79337de6-b918-45dc-a05a-28c594122d19.Kinect,8/11/2018,0.7,0.0,0.94,1.3,0.22,0.17,0.0,0.0,0.14,0.0,0.0,0.0,0.59,0.0,0.0
4e72ce8d-67fe-4c9b-be6a-de93bbf35569.Kinect,6/5/2018,0.48,0.03,1.11,0.6,0.0,0.01,0.01,1.48,0.01,0.0,0.0,0.5,0.0,0.0,0.0
c119dde5-2ec4-4f27-8c2b-574175d17d83.Kinect,6/1/2018,0.83,0.0,0.34,0.02,1.05,0.7,0.04,0.0,0.01,0.0,0.01,0.01,0.11,0.0,0.0
c2280483-1f62-4e93-b4b7-956f3996f7b1.Kinect,6/1/2018,0.61,0.01,0.99,0.3,1.09,1.03,0.11,0.49,0.0,0.36,0.01,0.0,0.0,0.0,0.0
