AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.7,0.46,0.66,0.35,0.19,0.18,0.79,0.66,0.64,0.39,0.49,0.64,0.2,0.3,0.16,0.67,0.45,0.48,0.3,0.87,0.34,0.82,0.78,0.74,0.59,0.4,0.72,0.47,0.47,0.29,0.7,0.53,0.67,0.81,0.67,0.56,0.66,0.59,0.35,0.69,0.72,0.2,debbd76a-0f08-4a10-b17e-b59002548839.Kinect
0.38,0.62,0.09,0.82,0.26,0.17,0.38,0.67,0.53,0.8,0.62,0.63,0.8,0.52,0.18,0.68,0.59,0.63,0.52,0.48,0.59,0.79,0.6,0.92,0.75,0.65,0.54,0.16,0.89,0.44,0.4,0.66,0.93,0.95,0.86,0.79,0.66,0.92,0.32,0.91,0.89,0.47,e7fcd78a-702f-42b4-b9fd-ae2e42418814.Kinect
0.81,0.28,0.1,0.35,0.94,0.89,0.97,0.98,0.54,0.16,0.21,0.64,0.11,0.18,0.88,0.99,0.29,0.22,0.18,0.47,0.16,0.41,0.33,0.49,0.3,0.34,0.53,0.79,0.46,0.71,0.68,0.89,0.84,0.66,0.83,0.74,0.82,0.67,0.31,0.16,0.16,0.79,f733a61c-db20-44e6-aaa9-2cfdd1b9ef8f.Kinect
0.45,0.28,0.73,0.83,0.26,0.66,0.33,0.71,0.53,0.9,0.22,0.63,0.26,0.49,0.65,0.71,0.28,0.21,0.51,0.64,0.96,0.73,0.69,0.31,0.3,0.73,0.78,0.64,0.79,0.29,0.94,0.87,0.82,0.85,0.64,0.57,0.69,0.88,0.52,0.79,0.65,0.74,ecadcd85-b144-443a-9d0f-dff44241ff4f.Kinect
0.73,0.28,0.71,0.37,0.61,0.51,0.48,0.45,0.52,0.72,0.49,0.67,0.52,0.41,0.5,0.46,0.28,0.48,0.41,0.47,0.51,0.5,0.25,0.29,0.54,0.68,0.93,0.5,0.46,0.46,0.39,0.44,0.68,0.66,0.64,0.54,0.65,0.58,0.34,0.15,0.16,0.07,2cc6378f-8e7d-462f-b95f-0540b06436fd.Kinect
0.54,0.39,0.41,0.35,0.2,0.44,0.87,0.47,0.54,0.78,0.79,0.85,0.66,0.82,0.43,0.44,0.36,0.79,0.81,0.48,0.25,0.34,0.25,0.3,0.53,0.34,0.96,0.24,0.62,0.28,0.56,0.44,0.67,0.66,0.66,0.69,0.8,0.58,0.31,0.57,0.55,0.14,e268c732-f7a4-4aab-8774-e8ee0e7604b5.Kinect
0.66,0.88,0.75,0.36,0.52,0.42,0.8,0.2,0.52,0.16,0.51,0.65,0.62,0.22,0.42,0.19,0.88,0.51,0.22,0.86,0.22,0.61,0.54,0.29,0.3,0.37,0.54,0.96,0.86,0.84,0.84,0.64,0.68,0.71,0.64,0.82,0.65,0.58,0.38,0.52,0.45,0.37,a0eaba49-b61b-4817-abaa-aa654f4da4af.Kinect
0.86,0.28,0.18,0.35,0.19,0.16,0.19,0.2,0.51,0.22,0.24,0.75,0.41,0.18,0.17,0.19,0.28,0.22,0.19,0.48,0.57,0.34,0.48,0.28,0.32,0.31,0.57,0.64,0.47,0.79,0.74,0.44,0.67,0.68,0.66,0.56,0.65,0.66,0.73,0.15,0.15,0.05,65cdca0a-830f-46e0-851a-19099ba57728.Kinect
0.51,0.28,0.56,0.58,0.67,0.39,0.31,0.45,0.85,0.38,0.21,0.63,0.11,0.23,0.37,0.46,0.29,0.21,0.22,0.47,0.96,0.34,0.42,0.71,0.41,0.49,0.73,0.27,0.62,0.37,0.93,0.45,0.67,0.66,0.64,0.64,0.65,0.58,0.31,0.46,0.49,0.32,81915340-00d3-4af8-9cb2-814694a68276.Kinect
0.31,0.58,0.93,0.83,0.2,0.7,0.7,0.4,0.71,0.29,0.37,0.95,0.49,0.5,0.7,0.4,0.57,0.37,0.51,0.9,1.0,0.88,0.76,0.71,0.57,0.6,0.55,0.32,0.52,0.82,0.85,0.46,0.83,0.85,0.64,0.57,0.84,0.58,0.72,0.93,0.91,0.74,511f594b-9b52-41af-b6e0-8d04b5132928.Kinect
0.69,0.44,0.25,0.56,0.22,0.62,0.16,0.67,0.54,0.17,0.21,0.64,0.12,0.18,0.62,0.68,0.45,0.23,0.18,0.52,0.75,0.67,0.73,0.63,0.43,0.48,0.54,0.1,0.58,0.28,0.48,0.44,0.68,0.66,0.64,0.57,0.65,0.58,0.54,0.28,0.29,0.24,f705891a-b72f-4056-90f2-cdb71bb5977f.Kinect
0.73,0.28,0.41,0.35,0.3,0.16,0.15,0.2,0.54,0.16,0.26,0.63,0.12,0.3,0.16,0.21,0.29,0.26,0.27,0.47,0.16,0.8,0.77,0.61,0.39,0.43,0.56,0.86,0.82,0.82,0.86,0.65,0.67,0.86,0.98,0.97,0.93,0.69,0.68,0.76,0.83,0.6,c0c5fee0-1803-4056-a7fe-eea5c2ffdb2f.Kinect
0.08,0.95,1.0,0.76,0.99,0.84,0.94,0.76,0.95,0.16,0.7,0.79,0.81,0.82,0.82,0.79,0.94,0.7,0.82,0.47,0.99,0.65,0.51,1.0,0.51,0.78,0.92,0.35,0.89,0.3,0.46,0.84,0.67,0.89,0.88,0.94,0.96,0.58,0.83,0.41,0.5,0.97,d87f517c-0d66-41d5-a8f5-99c5948d4a6a.Kinect
0.54,0.39,0.43,0.35,0.19,0.44,0.87,0.46,0.51,0.79,0.79,0.85,0.66,0.84,0.44,0.47,0.39,0.8,0.83,0.47,0.24,0.34,0.26,0.3,0.51,0.31,0.96,0.26,0.66,0.28,0.56,0.44,0.7,0.66,0.64,0.69,0.82,0.58,0.31,0.6,0.55,0.14,e268c732-f7a4-4aab-8774-e8ee0e7604b5.Kinect
0.83,0.29,0.09,0.7,0.54,0.81,0.2,0.76,0.53,0.29,0.23,0.63,0.1,0.18,0.8,0.8,0.28,0.21,0.19,0.5,0.56,0.39,0.28,0.29,0.34,0.33,0.54,0.09,0.84,0.29,0.38,0.45,0.67,0.66,0.65,0.57,0.65,0.59,0.41,0.19,0.22,0.4,ecc36703-7570-46d5-bb55-87cefcca963c.Kinect
0.49,0.96,0.75,0.53,0.62,0.17,0.83,0.19,0.82,0.48,0.29,0.92,0.52,0.34,0.18,0.21,0.93,0.28,0.35,0.49,0.89,0.64,0.76,0.97,0.77,0.6,0.81,0.1,0.67,0.29,0.63,0.96,0.89,0.76,0.95,0.87,0.8,0.65,0.33,0.74,0.76,0.58,8d2cf6a8-88a9-4872-9ddf-2268cd338a50.Kinect
0.41,0.29,0.15,0.35,0.28,0.92,0.64,0.9,0.52,0.56,0.91,0.63,0.81,0.94,0.9,0.88,0.28,0.92,0.94,0.59,0.51,0.35,0.45,0.36,0.92,0.93,0.56,0.66,0.46,0.81,0.38,0.7,0.67,0.88,0.69,0.79,0.66,0.6,0.89,0.75,0.72,0.81,b5d3d8c0-ec94-427e-a0dd-608a44e13e3e.Kinect
0.41,0.28,0.19,0.36,0.36,0.96,0.64,0.93,0.53,0.52,0.91,0.67,0.86,0.98,0.96,0.91,0.28,0.93,0.97,0.55,0.45,0.34,0.5,0.51,0.95,0.91,0.53,0.84,0.46,0.72,0.38,0.81,0.67,0.95,0.64,0.57,0.65,0.76,0.95,0.78,0.79,0.89,0b871ef0-5b0a-4877-bf9b-1be879122704.Kinect
0.09,0.61,0.6,0.95,0.62,1.0,0.79,0.99,0.82,0.36,0.22,0.63,0.66,0.39,0.99,0.99,0.62,0.21,0.39,0.47,0.3,0.34,0.25,0.72,0.77,0.82,0.54,0.88,0.48,0.69,0.38,0.45,0.68,0.82,0.64,0.55,0.66,0.58,0.72,0.19,0.15,0.8,77b6be06-c746-467f-9b4d-d67952778457.Kinect
0.28,0.28,0.16,0.35,0.28,0.88,0.7,0.87,0.53,0.54,0.91,0.64,0.89,0.92,0.89,0.88,0.28,0.9,0.9,0.59,0.54,0.34,0.44,0.36,0.9,0.94,0.53,0.53,0.48,0.88,0.38,0.62,0.67,0.8,0.77,0.9,0.65,0.59,0.89,0.76,0.79,0.83,05529426-0dad-413e-8713-495810f32155.Kinect
0.81,0.42,0.09,0.35,0.46,0.18,0.89,0.38,0.56,0.37,0.76,0.82,0.28,0.83,0.16,0.38,0.4,0.74,0.81,0.97,0.53,0.34,0.56,0.74,0.39,0.37,0.55,0.1,0.88,0.7,0.5,0.68,0.67,0.86,0.64,0.85,0.65,0.96,0.41,0.49,0.41,0.35,9f70d7bb-6f52-4eb9-96cc-13afd589bc3a.Kinect
0.7,0.28,0.41,0.92,0.48,0.74,0.16,0.7,0.54,0.24,0.31,0.65,0.19,0.18,0.74,0.73,0.28,0.31,0.18,0.47,0.91,0.54,0.61,0.29,0.57,0.48,0.56,0.1,0.5,0.49,0.4,0.44,0.67,0.67,0.68,0.86,0.65,0.59,0.67,0.93,0.91,0.58,b5b1c008-58da-48e7-a467-ac91bf701e9a.Kinect
0.51,0.29,0.62,0.76,0.48,0.48,0.6,0.55,0.55,0.2,0.21,0.62,0.12,0.4,0.46,0.56,0.29,0.22,0.41,0.47,0.99,0.62,0.71,0.87,0.47,0.62,0.54,0.1,0.46,0.44,0.38,0.63,0.67,0.66,0.66,0.71,0.65,0.68,0.32,0.15,0.16,0.36,5d4a7b0a-6738-49b8-857b-ae4cb624d9ec.Kinect
0.3,0.45,0.92,0.57,0.99,0.78,0.93,0.5,0.81,0.23,0.78,0.97,0.64,0.83,0.76,0.51,0.44,0.79,0.83,0.47,0.8,0.92,0.97,0.97,0.74,0.79,0.94,0.26,0.47,0.33,0.87,1.0,0.88,0.94,0.95,0.93,0.92,0.81,0.37,0.61,0.77,0.97,31ddbc35-98a8-41d9-bdb7-055ae3ab27cc.Kinect
0.32,0.7,0.96,0.46,0.64,0.25,0.14,0.21,0.86,0.3,0.59,0.63,0.1,0.61,0.25,0.21,0.7,0.58,0.62,0.47,0.92,0.76,0.78,0.95,0.48,0.56,0.54,0.1,0.46,0.29,0.68,0.86,0.67,0.66,0.65,0.56,0.65,0.58,0.31,0.15,0.15,0.32,80a9b249-205d-4496-a6d9-815a5ec2029e.Kinect
0.96,0.79,0.3,0.37,0.19,0.17,0.14,0.19,0.53,0.22,0.21,0.65,0.11,0.18,0.16,0.19,0.78,0.21,0.18,0.47,0.16,0.34,0.25,0.28,0.31,0.32,0.54,0.1,0.46,0.28,0.38,0.44,0.67,0.66,0.64,0.55,0.65,0.58,0.31,0.16,0.15,0.01,7f574a51-4bdb-4221-b465-235c38eca3df.Kinect
0.42,0.65,0.81,0.4,0.51,0.78,0.15,0.73,0.53,0.16,0.21,0.63,0.29,0.18,0.75,0.71,0.66,0.21,0.18,0.47,0.79,0.56,0.68,0.81,0.3,0.32,0.52,0.73,0.46,0.42,0.41,0.63,0.67,0.74,0.86,0.86,0.79,0.58,0.43,0.15,0.15,0.47,2f6278d8-fb63-4d30-9c4c-23eee4f45d9f.Kinect
0.83,0.29,0.34,0.35,0.19,0.3,0.35,0.48,0.53,0.26,0.79,0.64,0.13,0.76,0.31,0.49,0.3,0.81,0.75,0.64,0.48,0.34,0.25,0.31,0.4,0.31,0.53,0.1,0.59,0.62,0.38,0.45,0.68,0.66,0.68,0.56,0.65,0.58,0.63,0.16,0.16,0.03,361cda45-40a2-4b36-8e98-a3f9aff88cb5.Kinect
0.6,0.28,0.19,0.86,0.6,0.66,0.8,0.62,0.52,0.53,0.46,0.64,0.72,0.49,0.66,0.64,0.28,0.47,0.5,0.47,0.91,0.68,0.58,0.56,0.71,0.75,0.53,0.81,0.78,0.91,0.87,0.44,0.85,0.66,0.64,0.54,0.66,0.97,0.33,0.29,0.47,0.69,fec37f76-7028-452e-bb13-de01830d7f33.Kinect
0.74,0.96,0.87,0.35,0.98,0.33,0.89,0.39,0.62,0.72,0.76,0.63,0.59,0.8,0.35,0.42,0.97,0.75,0.8,0.48,0.53,0.93,0.88,0.55,0.82,0.79,0.54,0.29,0.71,0.4,0.79,1.0,0.97,0.69,0.77,0.7,0.78,0.59,0.57,0.59,0.56,0.75,186820c7-d432-4bf7-a3d3-58460240129d.Kinect
0.01,0.99,0.87,0.72,0.96,0.86,0.86,0.53,0.97,0.71,0.83,1.0,0.61,0.75,0.87,0.54,0.98,0.84,0.74,0.95,0.82,0.92,0.94,1.0,0.75,0.78,0.84,0.92,0.46,0.67,0.91,0.94,0.89,0.9,0.88,0.98,0.95,0.85,0.76,0.85,0.9,0.98,70812d21-a95e-4019-9d97-1d84d5980189.Kinect
0.76,0.57,0.37,0.45,0.74,0.74,0.14,0.84,0.52,0.16,0.21,0.63,0.1,0.18,0.75,0.86,0.59,0.21,0.19,0.48,0.54,0.71,0.82,0.28,0.3,0.34,0.55,0.19,0.91,0.51,0.39,0.44,0.67,0.67,0.65,0.55,0.71,0.58,0.7,0.96,0.97,0.63,3c35797f-d626-47e3-89ef-91fc94f7e4b3.Kinect
0.76,0.43,0.52,0.61,0.2,0.65,0.89,0.6,0.54,0.62,0.46,0.95,0.99,0.18,0.65,0.61,0.45,0.47,0.18,0.86,0.26,0.34,0.25,0.29,0.29,0.33,0.55,0.91,0.95,0.78,0.68,0.44,0.67,0.66,0.64,0.56,0.65,0.58,0.32,0.15,0.15,0.56,f1b2b5c9-290a-4613-a244-44640ed9704d.Kinect
0.07,0.28,0.29,0.35,0.22,0.54,0.27,0.58,0.52,0.83,0.83,0.71,0.75,0.9,0.53,0.61,0.28,0.83,0.91,0.47,0.4,0.54,0.67,0.68,0.87,0.99,0.54,0.48,0.52,0.91,0.38,0.56,0.67,0.66,0.64,0.89,0.66,0.9,0.32,0.46,0.47,0.48,811bdfcf-1fc2-465f-9323-d1278d5ba471.Kinect
0.67,0.78,0.91,0.57,0.6,0.2,0.37,0.21,0.71,0.47,0.3,0.63,0.81,0.29,0.2,0.19,0.78,0.28,0.3,0.47,0.77,0.94,0.97,0.69,0.29,0.32,0.61,0.53,0.46,0.29,0.62,0.91,0.83,0.66,0.64,0.55,0.65,0.59,0.32,0.27,0.23,0.4,0dac51ef-dc38-49b2-895c-0e089b3b5719.Kinect
0.53,0.56,0.74,0.35,0.5,0.68,0.57,0.46,0.52,0.78,0.54,0.8,1.0,0.28,0.7,0.46,0.54,0.56,0.27,0.77,0.96,0.5,0.61,0.57,0.32,0.34,0.63,0.67,0.57,0.9,0.78,0.81,0.84,0.67,0.93,0.92,0.91,0.6,0.84,0.23,0.24,0.74,d9fab6c7-1abe-43d5-9514-4a1027bc9ce4.Kinect
0.67,0.34,0.84,0.81,0.5,0.48,0.5,0.49,0.54,0.78,0.62,0.74,0.34,0.58,0.5,0.46,0.34,0.62,0.59,0.7,0.9,0.34,0.26,0.5,0.83,0.7,0.56,0.53,0.8,0.36,0.61,0.45,0.77,0.7,0.64,0.55,0.75,0.8,0.36,0.43,0.43,0.29,e56b23a7-4750-4878-a840-f5ed5dbc3998.Kinect
0.72,0.78,0.66,0.4,0.78,0.63,0.91,0.62,0.81,0.59,0.31,0.67,0.7,0.31,0.64,0.62,0.82,0.3,0.32,0.47,0.65,0.55,0.25,0.71,0.84,0.71,0.55,0.64,0.88,0.61,0.59,0.44,0.81,0.66,0.64,0.56,0.65,0.88,0.31,0.92,0.87,0.54,97045874-70e9-4a41-b221-ef2cc2a3e646.Kinect
