AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID,Cluster,Silhouette,PC1,PC2
0.676982388,0.674796748,0.634146341,0.958871353,0.932089909,0.799139168,0.958393113,0.669536107,0.614538498,0.494978479,0.720229555,0.635581062,0.799617408,0.678144429,0.799139168,0.669536107,0.674796748,0.720229555,0.678144429,0.823529412,0.973218556,0.888570062,0.895265423,0.286465806,0.306551889,0.762314682,0.954567193,0.918699187,0.459110473,0.712577714,0.81396461,0.965088474,0.946437111,0.806791009,0.908656145,0.961262554,0.966523195,0.578192253,0.492109039,0.640841703,0.723098996,0.978000956,01e9ae95-b749-4081-a366-971f4d62649f.Kinect,1,0.0612821680484706,2.088737533421375,4.768528170673749
0.27680382,0.994261119,0.987087518,0.537063606,0.18890483,0.538498326,0.747011,0.68723099,0.966044955,0.890483022,0.787661406,0.744141559,0.434241989,0.828790053,0.538498326,0.68723099,0.994261119,0.787661406,0.828790053,0.523672884,0.901960784,0.351984696,0.571496891,0.982783357,0.792922047,0.774748924,0.766618843,0.566236251,0.830703013,0.582018173,0.841224295,0.441415591,0.670970827,0.656623625,0.642276423,0.651362984,0.648971784,0.578192253,0.56097561,0.218077475,0.322812052,0.783835485,01f01a50-a580-4ea4-8fba-bc89fc68e07c.Kinect,1,0.0348216152997015,1.2458721790434883,2.311889943255123
0.789607684,0.279770445,0.455762793,0.765184122,0.797226208,0.700143472,0.322333812,0.707795313,0.521759923,0.25251076,0.210425634,0.635581062,0.31181253,0.178861789,0.700143472,0.707795313,0.279770445,0.210425634,0.178861789,0.471066475,0.801052128,0.662840746,0.580583453,0.292682927,0.307030129,0.321377331,0.544715447,0.094213295,0.644667623,0.284552846,0.378287901,0.549976088,0.68818747,0.656623625,0.642276423,0.552845528,0.800573888,0.791009087,0.360593018,0.734098517,0.775705404,0.405547585,020f9814-9ef5-4a48-a6a6-25de340fc8f5.Kinect,0,0.1975365797558691,-1.8499632328109312,-2.059877004367778
0.543709986,0.778574845,0.926829268,0.346724055,0.849832616,0.178861789,0.87613582,0.241511239,0.956001913,0.802965088,0.404112865,0.920133907,0.129603061,0.56097561,0.178861789,0.241511239,0.778574845,0.404112865,0.56097561,0.471066475,0.558584409,0.854136777,0.924916308,0.774270684,0.584887614,0.533237685,0.544715447,0.3735055,0.459110473,0.414155906,0.378287901,0.868483979,0.895265423,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.714490674,0.440937351,0.566714491,0.423720708,0224a14b-92cb-4ce5-93f1-220b3f7cb80c.Kinect,0,0.1579644251023593,-2.52303562596424,3.3704108286856753
0.632451464,0.659014825,0.513151602,0.455762793,0.87661406,0.791009087,0.953132473,0.840746055,0.566714491,0.772835964,0.527020564,0.635581062,0.548063128,0.533715925,0.791009087,0.840746055,0.659014825,0.527020564,0.533715925,0.925394548,0.212338594,0.650406504,0.522238164,0.721186035,0.306551889,0.321377331,0.544715447,0.845050215,0.479196557,0.284552846,0.531324725,0.790530846,0.670970827,0.656623625,0.831181253,0.896700143,0.861310378,0.578192253,0.964131994,0.31181253,0.421329507,0.777140124,02315dab-c1bb-4921-a631-e2852dcb50c7.Kinect,0,0.0148329124257696,0.8725190466101497,1.485272718612532
0.707395497,0.37733142,0.092300335,0.911525586,0.355810617,0.163079866,0.163079866,0.194165471,0.521759923,0.763271162,0.531324725,0.635581062,0.37302726,0.50263032,0.163079866,0.194165471,0.37733142,0.531324725,0.50263032,0.822572932,0.164992826,0.339072214,0.287900526,0.779531325,0.62362506,0.547106648,0.544715447,0.609756098,0.539933046,0.441415591,0.566714491,0.744619799,0.670970827,0.656623625,0.778574845,0.799617408,0.87565758,0.892874223,0.838354854,0.880439981,0.831181253,0.218555715,023806b1-bbcc-4210-812c-9853cd69e290.Kinect,0,0.0280323609904166,0.39417666320327743,-0.3301705444149313
0.830091241,0.990435198,0.397417504,0.346724055,0.18890483,0.75274988,0.140124342,0.770923003,0.521759923,0.722142516,0.320899091,0.68914395,0.340028694,0.362984218,0.75274988,0.770923003,0.990435198,0.320899091,0.362984218,0.603538977,0.396461023,0.339072214,0.264945002,0.457675753,0.306551889,0.321377331,0.601626016,0.092778575,0.955523673,0.284552846,0.807269249,0.761358202,0.670970827,0.656623625,0.642276423,0.552845528,0.660927786,0.578192253,0.834050693,0.961740794,0.975131516,0.713534194,023e2baa-1613-4880-bbdf-7216173d0282.Kinect,0,0.1264334452914355,-0.8996060797076026,-0.7112841961443044
0.090855195,0.357723577,0.092300335,0.785270206,0.18890483,0.978479197,0.446676231,0.862745098,0.521759923,0.197034912,0.844571975,0.635581062,0.736489718,0.900047824,0.978479197,0.862745098,0.357723577,0.844571975,0.900047824,0.471066475,0.164992826,0.339072214,0.423242468,0.730750837,0.93543759,0.971305595,0.544715447,0.719751315,0.596365375,0.879961741,0.378287901,0.763271162,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.715925395,0.587757054,0.200382592,0.295552367,0.7517934,0241087b-31fd-4ca4-a795-18c69d60017b.Kinect,1,0.2074104642060738,4.650106187361292,-2.3009240043843806
0.468058386,0.325681492,0.406025825,0.346724055,0.18890483,0.909612626,0.68483979,0.961740794,0.521759923,0.361071258,0.967479675,0.635581062,0.922046868,0.928742229,0.909612626,0.961740794,0.325681492,0.967479675,0.928742229,0.471066475,0.483978957,0.339072214,0.440937351,0.316116691,0.932568149,0.889526542,0.544715447,0.912003826,0.459110473,0.704925873,0.378287901,0.839789574,0.670970827,0.973218556,0.642276423,0.552845528,0.754184601,0.775227164,0.958871353,0.484935438,0.649928264,0.913438546,026e836c-6b15-4d43-84bc-af99acc50404.Kinect,1,0.2748634895958616,6.210323859166221,-1.4246936962135497
0.721837022,0.279770445,0.092300335,0.346724055,0.634146341,0.698230512,0.585365854,0.797226208,0.521759923,0.156384505,0.210425634,0.635581062,0.946437111,0.178861789,0.698230512,0.797226208,0.279770445,0.210425634,0.178861789,0.884265901,0.304160689,0.717360115,0.590626495,0.286465806,0.306551889,0.321377331,0.544715447,0.557149689,0.823051172,0.708273553,0.378287901,0.441415591,0.714490674,0.656623625,0.839789574,0.772835964,0.648971784,0.578192253,0.308943089,0.148732664,0.151123864,0.49832616,026f7c2b-d4b4-42df-bb52-875be4f07192.Kinect,0,0.1265626933215783,-0.9510590683077863,-2.195170122958216
